Typical Age,What Most Children Do By This Age
3 years ,Follows instructions with 2 or 3 steps 
3 years ,Can name most familiar things 
3 years ,"Understands words like “in,” “on,” and “under” "
3 years ,"Says first name, age, and sex "
3 years ,Names a friend 
3 years ,"Says words like “I,” “me,” “we,” and “you” and some plurals (cars, dogs, cats) "
3 years ,Talks well enough for strangers to understand most of the time 
3 years ,Carries on a conversation using 2 to 3 sentences
4 years,"Knows some basic rules of grammar, such as correctly using “he” and “she” "
4 years,Sings a song or says a poem from memory such as the “Itsy Bitsy Spider” or the “Wheels on the Bus” 
4 years,Tells stories 
4 years,Can say first and last name
5 years ,Speaks very clearly 
5 years ,Tells a simple story using full sentences 
5 years ,"Uses future tense; for example, “Grandma will be here.” "
5 years ,Says name and address
