Typical Age,What Most Children Do By This Age
2 months ,Can hold head up and begins to push up when lying on tummy
2 months ,Makes smoother movements with arms and legs
4 months ,"Holds head steady, unsupported"
4 months ,Pushes down on legs when feet are on a hard surface
4 months ,May be able to roll over from tummy to back
4 months ,Brings hands to mouth
4 months ,"When lying on stomach, pushes up to elbows"
6 months ,"Rolls over in both directions (front to back, back to front)"
6 months ,Begins to sit without support
6 months ,"When standing, supports weight on legs and might bounce"
6 months ,"Rocks back and forth, sometimes crawling backward before moving forward"
9 months ,"Stands, holding on"
9 months ,Can get into sitting position
9 months ,Sits without support
9 months ,Pulls to stand
9 months ,Crawls
1 year ,Gets to a sitting position without help
1 year ,"Pulls up to stand, walks holding on to furniture (“cruising”)"
1 year ,May take a few steps without holding on
1 year ,May stand alone 
18 months ,Walks alone 
18 months ,May walk up steps and run 
18 months ,Pulls toys while walking 
18 months ,Can help undress self 
2 years,Stands on tiptoe 
2 years,Kicks a ball 
2 years,Begins to run 
2 years,Climbs onto and down from furniture without help 
2 years,Walks up and down stairs holding on 
2 years,Throws ball overhand 
