Typical Age,What Most Children Do by This Age
3 years ,Copies a circle with pencil or crayon 
3 years ,Turns book pages one at a time 
3 years ,Builds towers of more than 6 blocks
3 years ,Screws and unscrews jar lids or turns door handle
4 years,"Pours, cuts with supervision, and mashes own food"
4 years,Draws a person with 2 to 4 body parts 
4 years,Uses scissors 
4 years,Starts to copy some capital letters 
5 years ,Can draw a person with at least 6 body parts 
5 years ,Can print some letters or numbers 
5 years ,Copies a triangle and other geometric shapes 
5 years ,Uses a fork and spoon and sometimes a table knife 
